Text,Language
the field is a major academic discipline and is also important for mineral and hydrocarbon extraction knowledge about and mitigation of natural hazards some geotechnical engineering fields and understanding past climates and environments,English
the geology of an area evolves through time as rock units are deposited and inserted and deformational processes change their shapes and locations,English
rock units are first emplaced either by deposition onto the surface or intrude into the overlying rock,English
deposition can occur when sediments settle onto the surface of the earth and later lithify into sedimentary rock or when as volcanic material such as volcanic ash or lava flows blanket the surface,English
igneous intrusions such as batholiths laccoliths dikes and sills push upwards into the overlying rock and crystallize as they intrude,English
after the initial sequence of rocks has been deposited the rock units can be deformed andor metamorphosed,English
deformation typically occurs as a result of horizontal shortening horizontal extension or sidetoside strikeslip motion,English
these structural regimes broadly relate to convergent boundaries divergent boundaries and transform boundaries respectively between tectonic plates,English
earth is estimated to have formed billion years ago from the solar nebula along with the sun and other planets,English
the moon formed roughly million years later,English
initially molten the outer layer of the earth cooled resulting in the solid crust,English
outgassing and volcanic activity produced the primordial atmosphere,English
condensing water vapor most or all of which came from ice delivered by comets produced the oceans and other water sources,English
the highly energetic chemistry is believed to have produced a selfreplicating molecule around billion years ago,English
continents formed then broke up and reformed as the surface of earth reshaped over hundreds of millions of years occasionally combining to make a supercontinent,English
roughly million years ago the earliest known supercontinent rodinia began to break apart,English
the continents later recombined to form pannotia which broke apart about million years ago then finally pangaea which broke apart about million years ago,English
during the neoproterozoic era freezing temperatures covered much of the earth in glaciers and ice sheets,English
this hypothesis has been termed the snowball earth and it is of particular interest as it precedes the cambrian explosion in which multicellular life forms began to proliferate about million years ago,English
since the cambrian explosion there have been five distinctly identifiable mass extinctions,English
the last mass extinction occurred some million years ago when a meteorite collision probably triggered the extinction of the nonavian dinosaurs and other large reptiles but spared small animals such as mammals,English
over the past million years mammalian life diversified,English
several million years ago a species of small african ape gained the ability to stand upright,English
the subsequent advent of human life and the development of agriculture and further civilization allowed humans to affect the earth more rapidly than any previous life form affecting both the nature and quantity of other organisms as well as global climate,English
by comparison the great oxygenation event produced by the proliferation of algae during the siderian period required about million years to culminate,English
the present era is classified as part of a mass extinction event the holocene extinction event the fastest ever to have occurred,English
some such as e o wilson of harvard university predict that human destruction of the biosphere could cause the extinction of onehalf of all species in the next years,English
the extent of the current extinction event is still being researched debated and calculated by biologists,English
the earths atmosphere is a key factor in sustaining the ecosystem,English
the thin layer of gases that envelops the earth is held in place by gravity,English
air is mostly nitrogen oxygen water vapor with much smaller amounts of carbon dioxide argon etc,English
the atmospheric pressure declines steadily with altitude,English
the ozone layer plays an important role in depleting the amount of ultraviolet uv radiation that reaches the surface,English
as dna is readily damaged by uv light this serves to protect life at the surface,English
the atmosphere also retains heat during the night thereby reducing the daily temperature extremes,English
terrestrial weather occurs almost exclusively in the lower part of the atmosphere and serves as a convective system for redistributing heat,English
ocean currents are another important factor in determining climate particularly the major underwater thermohaline circulation which distributes heat energy from the equatorial oceans to the polar regions,English
these currents help to moderate the differences in temperature between winter and summer in the temperate zones,English
also without the redistributions of heat energy by the ocean currents and atmosphere the tropics would be much hotter and the polar regions much colder,English
weather can have both beneficial and harmful effects,English
extremes in weather such as tornadoes or hurricanes and cyclones can expend large amounts of energy along their paths and produce devastation,English
surface vegetation has evolved a dependence on the seasonal variation of the weather and sudden changes lasting only a few years can have a dramatic effect both on the vegetation and on the animals which depend on its growth for their food,English
climate is a measure of the longterm trends in the weather,English
various factors are known to influence the climate including ocean currents surface albedo greenhouse gases variations in the solar luminosity and changes to the earths orbit,English
based on historical records the earth is known to have undergone drastic climate changes in the past including ice ages,English
the climate of a region depends on a number of factors especially latitude,English
a latitudinal band of the surface with similar climatic attributes forms a climate region,English
there are a number of such regions ranging from the tropical climate at the equator to the polar climate in the northern and southern extremes,English
weather is also influenced by the seasons which result from the earths axis being tilted relative to its orbital plane,English
thus at any given time during the summer or winter one part of the earth is more directly exposed to the rays of the sun,English
this exposure alternates as the earth revolves in its orbit,English
at any given time regardless of season the northern and southern hemispheres experience opposite seasons,English
weather is a chaotic system that is readily modified by small changes to the environment so accurate weather forecasting is limited to only a few days,English
overall two things are happening worldwide temperature is increasing on the average and regional climates have been undergoing noticeable changes,English
water is a chemical substance that is composed of hydrogen and oxygen ho and is vital for all known forms of life,English
in typical usage water refers only to its liquid form or state but the substance also has a solid state ice and a gaseous state water vapor or steam,English
water covers of the earths surface,English
on earth it is found mostly in oceans and other large bodies of water with of water below ground in aquifers and in the air as vapor clouds and precipitation,English
oceans hold of surface water glaciers and polar ice caps and other land surface water such as rivers lakes and ponds,English
additionally a minute amount of the earths water is contained within biological bodies and manufactured products,English
an ocean is a major body of saline water and a principal component of the hydrosphere,English
approximately of the earths surface an area of some million square kilometers is covered by ocean a continuous body of water that is customarily divided into several principal oceans and smaller seas,English
more than half of this area is over meters feet deep,English
average oceanic salinity is around parts per thousand ppt and nearly all seawater has a salinity in the range of to ppt,English
though generally recognized as several separate oceans these waters comprise one global interconnected body of salt water often referred to as the world ocean or global ocean,English
this concept of a global ocean as a continuous body of water with relatively free interchange among its parts is of fundamental importance to oceanography,English
the major oceanic divisions are defined in part by the continents various archipelagos and other criteria these divisions are in descending order of size the pacific ocean the atlantic ocean the indian ocean the southern ocean and the arctic ocean,English
smaller regions of the oceans are called seas gulfs bays and other names,English
there are also salt lakes which are smaller bodies of landlocked saltwater that are not interconnected with the world ocean,English
two notable examples of salt lakes are the aral sea and the great salt lake,English
a lake from latin word lacus is a terrain feature or physical feature a body of liquid on the surface of a world that is localized to the bottom of basin another type of landform or terrain feature that is it is not global and moves slowly if it moves at all,English
on earth a body of water is considered a lake when it is inland not part of the ocean is larger and deeper than a pond and is fed by a river,English
the only world other than earth known to harbor lakes is titan saturns largest moon which has lakes of ethane most likely mixed with methane,English
it is not known if titans lakes are fed by rivers though titans surface is carved by numerous river beds,English
natural lakes on earth are generally found in mountainous areas rift zones and areas with ongoing or recent glaciation,English
other lakes are found in endorheic basins or along the courses of mature rivers,English
in some parts of the world there are many lakes because of chaotic drainage patterns left over from the last ice age,English
all lakes are temporary over geologic time scales as they will slowly fill in with sediments or spill out of the basin containing them,English
a pond is a body of standing water either natural or manmade that is usually smaller than a lake,English
a wide variety of manmade bodies of water are classified as ponds including water gardens designed for aesthetic ornamentation fish ponds designed for commercial fish breeding and solar ponds designed to store thermal energy,English
ponds and lakes are distinguished from streams via current speed,English
while currents in streams are easily observed ponds and lakes possess thermally driven microcurrents and moderate wind driven currents,English
these features distinguish a pond from many other aquatic terrain features such as stream pools and tide pools,English
a river is a natural watercourse usually freshwater flowing towards an ocean a lake a sea or another river,English
in a few cases a river simply flows into the ground or dries up completely before reaching another body of water,English
small rivers may also be called by several other names including stream creek brook rivulet and rill there is no general rule that defines what can be called a river,English
many names for small rivers are specific to geographic location one example is burn in scotland and northeast england,English
sometimes a river is said to be larger than a creek but this is not always the case due to vagueness in the language,English
a river is part of the hydrological cycle,English
water within a river is generally collected from precipitation through surface runoff groundwater recharge springs and the release of stored water in natural ice and snowpacks ie from glaciers,English
a stream is a flowing body of water with a current confined within a bed and stream banks,English
in the united states a stream is classified as a watercourse less than feet metres wide,English
streams are important as conduits in the water cycle instruments in groundwater recharge and they serve as corridors for fish and wildlife migration,English
the biological habitat in the immediate vicinity of a stream is called a riparian zone,English
given the status of the ongoing holocene extinction streams play an important corridor role in connecting fragmented habitats and thus in conserving biodiversity,English
the study of streams and waterways in general involves many branches of interdisciplinary natural science and engineering including hydrology fluvial geomorphology aquatic ecology fish biology riparian ecology and others,English
ecosystems are composed of a variety of biotic and abiotic components that function in an interrelated way,English
the structure and composition is determined by various environmental factors that are interrelated,English
variations of these factors will initiate dynamic modifications to the ecosystem,English
some of the more important components are soil atmosphere radiation from the sun water and living organisms,English
central to the ecosystem concept is the idea that living organisms interact with every other element in their local environment,English
eugene odum a founder of ecology stated any unit that includes all of the organisms ie the community in a given area interacting with the physical environment so that a flow of energy leads to clearly defined trophic structure biotic diversity and material cycles ie,English
exchange of materials between living and nonliving parts within the system is an ecosystem,English
within the ecosystem species are connected and dependent upon one another in the food chain and exchange energy and matter between themselves as well as with their environment,English
the human ecosystem concept is based on the humannature dichotomy and the idea that all species are ecologically dependent on each other as well as with the abiotic constituents of their biotope,English
a smaller unit of size is called a microecosystem,English
for example a microsystem can be a stone and all the life under it,English
a macroecosystem might involve a whole ecoregion with its drainage basin,English
wilderness is generally defined as areas that have not been significantly modified by human activity,English
wilderness areas can be found in preserves estates farms conservation preserves ranches national forests national parks and even in urban areas along rivers gulches or otherwise undeveloped areas,English
wilderness areas and protected parks are considered important for the survival of certain species ecological studies conservation and solitude,English
some nature writers believe wilderness areas are vital for the human spirit and creativity and some ecologists consider wilderness areas to be an integral part of the earths selfsustaining natural ecosystem the biosphere,English
they may also preserve historic genetic traits and that they provide habitat for wild flora and fauna that may be difficult or impossible to recreate in zoos arboretums or laboratories,English
although there is no universal agreement on the definition of life scientists generally accept that the biological manifestation of life is characterized by organization metabolism growth adaptation response to stimuli and reproduction,English
life may also be said to be simply the characteristic state of organisms,English
properties common to terrestrial organisms plants animals fungi protists archaea and bacteria are that they are cellular carbonandwaterbased with complex organization having a metabolism a capacity to grow respond to stimuli and reproduce,English
an entity with these properties is generally considered life,English
however not every definition of life considers all of these properties to be essential,English
humanmade analogs of life may also be considered to be life,English
the biosphere is the part of earths outer shellincluding land surface rocks water air and the atmospherewithin which life occurs and which biotic processes in turn alter or transform,English
from the broadest geophysiological point of view the biosphere is the global ecological system integrating all living beings and their relationships including their interaction with the elements of the lithosphere rocks hydrosphere water and atmosphere air,English
the entire earth contains over billion tons trillion pounds or about kilograms of biomass life which lives within various environments within the biosphere,English
over ninetenths of the total biomass on earth is plant life on which animal life depends very heavily for its existence,English
more than million species of plant and animal life have been identified to date and estimates of the actual number of existing species range from several million to well over million,English
the number of individual species of life is constantly in some degree of flux with new species appearing and others ceasing to exist on a continual basis,English
the total number of species is in rapid decline,English
the origin of life on earth is not well understood but it is known to have occurred at least billion years ago during the hadean or archean eons on a primordial earth that had a substantially different environment than is found at present,English
these life forms possessed the basic traits of selfreplication and inheritable traits,English
once life had appeared the process of evolution by natural selection resulted in the development of evermore diverse life forms,English
species that were unable to adapt to the changing environment and competition from other life forms became extinct,English
however the fossil record retains evidence of many of these older species,English
current fossil and dna evidence shows that all existing species can trace a continual ancestry back to the first primitive life forms,English
when basic forms of plant life developed the process of photosynthesis the suns energy could be harvested to create conditions which allowed for more complex life forms,English
the resultant oxygen accumulated in the atmosphere and gave rise to the ozone layer,English
the incorporation of smaller cells within larger ones resulted in the development of yet more complex cells called eukaryotes,English
cells within colonies became increasingly specialized resulting in true multicellular organisms,English
with the ozone layer absorbing harmful ultraviolet radiation life colonized the surface of earth,English
the first form of life to develop on the earth were microbes and they remained the only form of life until about a billion years ago when multicellular organisms began to appear,English
microorganisms are singlecelled organisms that are generally microscopic and smaller than the human eye can see,English
they include bacteria fungi archaea and protista,English
these life forms are found in almost every location on the earth where there is liquid water including in the earths interior,English
their reproduction is both rapid and profuse,English
the combination of a high mutation rate and a horizontal gene transfer ability makes them highly adaptable and able to survive in new environments including outer space,English
they form an essential part of the planetary ecosystem,English
however some microorganisms are pathogenic and can post health risk to other organisms,English
originally aristotle divided all living things between plants which generally do not move fast enough for humans to notice and animals,English
in linnaeus system these became the kingdoms vegetabilia later plantae and animalia,English
since then it has become clear that the plantae as originally defined included several unrelated groups and the fungi and several groups of algae were removed to new kingdoms,English
however these are still often considered plants in many contexts,English
bacterial life is sometimes included in flora and some classifications use the term bacterial flora separately from plant flora,English
among the many ways of classifying plants are by regional floras which depending on the purpose of study can also include fossil flora remnants of plant life from a previous era,English
people in many regions and countries take great pride in their individual arrays of characteristic flora which can vary widely across the globe due to differences in climate and terrain,English
regional floras commonly are divided into categories such as native flora and agricultural and garden flora the lastly mentioned of which are intentionally grown and cultivated,English
some types of native flora actually have been introduced centuries ago by people migrating from one region or continent to another and become an integral part of the native or natural flora of the place to which they were introduced,English
this is an example of how human interaction with nature can blur the boundary of what is considered nature,English
another category of plant has historically been carved out for weeds,English
though the term has fallen into disfavor among botanists as a formal way to categorize useless plants the informal use of the word weeds to describe those plants that are deemed worthy of elimination is illustrative of the general tendency of people and societies to seek to alter or shape the course of nature,English
similarly animals are often categorized in ways such as domestic farm animals wild animals pests etc,English
according to their relationship to human life,English
animals as a category have several characteristics that generally set them apart from other living things,English
animals are eukaryotic and usually multicellular although see myxozoa which separates them from bacteria archaea and most protists,English
they are heterotrophic generally digesting food in an internal chamber which separates them from plants and algae,English
they are also distinguished from plants algae and fungi by lacking cell walls,English
with a few exceptionsmost notably the two phyla consisting of sponges and placozoansanimals have bodies that are differentiated into tissues,English
these include muscles which are able to contract and control locomotion and a nervous system which sends and processes signals,English
there is also typically an internal digestive chamber,English
the eukaryotic cells possessed by all animals are surrounded by a characteristic extracellular matrix composed of collagen and elastic glycoproteins,English
this may be calcified to form structures like shells bones and spicules a framework upon which cells can move about and be reorganized during development and maturation and which supports the complex anatomy required for mobility,English
although humans comprise only a minuscule proportion of the total living biomass on earth the human effect on nature is disproportionately large,English
because of the extent of human influence the boundaries between what humans regard as nature and made environments is not clear cut except at the extremes,English
even at the extremes the amount of natural environment that is free of discernible human influence is diminishing at an increasingly rapid pace,English
the development of technology by the human race has allowed the greater exploitation of natural resources and has helped to alleviate some of the risk from natural hazards,English
in spite of this progress however the fate of human civilization remains closely linked to changes in the environment,English
there exists a highly complex feedback loop between the use of advanced technology and changes to the environment that are only slowly becoming understood,English
manmade threats to the earths natural environment include pollution deforestation and disasters such as oil spills,English
humans have contributed to the extinction of many plants and animals,English
humans employ nature for both leisure and economic activities,English
the acquisition of natural resources for industrial use remains a sizable component of the worlds economic system,English
some activities such as hunting and fishing are used for both sustenance and leisure often by different people,English
agriculture was first adopted around the th millennium bce,English
ranging from food production to energy nature influences economic wealth,English
although early humans gathered uncultivated plant materials for food and employed the medicinal properties of vegetation for healing most modern human use of plants is through agriculture,English
the clearance of large tracts of land for crop growth has led to a significant reduction in the amount available of forestation and wetlands resulting in the loss of habitat for many plant and animal species as well as increased erosion,English
beauty in nature has historically been a prevalent theme in art and books filling large sections of libraries and bookstores,English
that nature has been depicted and celebrated by so much art photography poetry and other literature shows the strength with which many people associate nature and beauty,English
reasons why this association exists and what the association consists of are studied by the branch of philosophy called aesthetics,English
beyond certain basic characteristics that many philosophers agree about to explain what is seen as beautiful the opinions are virtually endless,English
nature and wildness have been important subjects in various eras of world history,English
an early tradition of landscape art began in china during the tang dynasty,English
the tradition of representing nature as it is became one of the aims of chinese painting and was a significant influence in asian art,English
although natural wonders are celebrated in the psalms and the book of job wilderness portrayals in art became more prevalent in the s especially in the works of the romantic movement,English
british artists john constable and j m w turner turned their attention to capturing the beauty of the natural world in their paintings,English
before that paintings had been primarily of religious scenes or of human beings,English
william wordsworths poetry described the wonder of the natural world which had formerly been viewed as a threatening place,English
increasingly the valuing of nature became an aspect of western culture,English
this artistic movement also coincided with the transcendentalist movement in the western world,English
a common classical idea of beautiful art involves the word mimesis the imitation of nature,English
also in the realm of ideas about beauty in nature is that the perfect is implied through perfect mathematical forms and more generally by patterns in nature,English
as david rothenburg writes the beautiful is the root of science and the goal of art the highest possibility that humanity can ever hope to see,English
some fields of science see nature as matter in motion obeying certain laws of nature which science seeks to understand,English
for this reason the most fundamental science is generally understood to be physicsthe name for which is still recognizable as meaning that it is the study of nature,English
matter is commonly defined as the substance of which physical objects are composed,English
it constitutes the observable universe,English
the visible components of the universe are now believed to compose only percent of the total mass,English
the remainder is believed to consist of percent cold dark matter and percent dark energy,English
the exact arrangement of these components is still unknown and is under intensive investigation by physicists,English
the behaviour of matter and energy throughout the observable universe appears to follow welldefined physical laws,English
these laws have been employed to produce cosmological models that successfully explain the structure and the evolution of the universe we can observe,English
the mathematical expressions of the laws of physics employ a set of twenty physical constants that appear to be static across the observable universe,English
the values of these constants have been carefully measured but the reason for their specific values remains a mystery,English
outer space also simply called space refers to the relatively empty regions of the universe outside the atmospheres of celestial bodies,English
outer space is used to distinguish it from airspace and terrestrial locations,English
there is no discrete boundary between earths atmosphere and space as the atmosphere gradually attenuates with increasing altitude,English
outer space within the solar system is called interplanetary space which passes over into interstellar space at what is known as the heliopause,English
outer space is sparsely filled with several dozen types of organic molecules discovered to date by microwave spectroscopy blackbody radiation left over from the big bang and the origin of the universe and cosmic rays which include ionized atomic nuclei and various subatomic particles,English
there is also some gas plasma and dust and small meteors,English
additionally there are signs of human life in outer space today such as material left over from previous manned and unmanned launches which are a potential hazard to spacecraft,English
some of this debris reenters the atmosphere periodically,English
although earth is the only body within the solar system known to support life evidence suggests that in the distant past the planet mars possessed bodies of liquid water on the surface,English
for a brief period in mars history it may have also been capable of forming life,English
at present though most of the water remaining on mars is frozen,English
if life exists at all on mars it is most likely to be located underground where liquid water can still exist,English
conditions on the other terrestrial planets mercury and venus appear to be too harsh to support life as we know it,English
but it has been conjectured that europa the fourthlargest moon of jupiter may possess a subsurface ocean of liquid water and could potentially host life,English
astronomers have started to discover extrasolar earth analogs planets that lie in the habitable zone of space surrounding a star and therefore could possibly host life as we know it,English
media organizations philosophy wikipedia ˌwɪkɪˈpiːdiə listen wikihpeedeeə or ˌwɪki listen wikee is a multilingual opencollaborative online encyclopedia created and maintained by a community of volunteer editors using a wikibased editing system,English
it is one of the most popular websites as ranked by alexa as of january and the economist newspaper placed it as the thmostvisited place on the web,English
featuring no advertisements it is hosted by the wikimedia foundation an american nonprofit organization funded primarily through donations,English
wikipedia was launched on january by jimmy wales and larry sanger,English
sanger coined its name as a portmanteau of wiki and encyclopedia,English
it was initially an englishlanguage encyclopedia but versions in other languages were quickly developed,English
with million articles the english wikipedia is the largest of the wikipedia encyclopedias,English
overall wikipedia comprises more than million articles attracting billion unique visitors per month,English
wikipedia has been criticized for its uneven accuracy and for exhibiting systemic bias including gender bias with the majority of editors being male,English
editathons have been held to encourage female editors and increase the coverage of womens topics,English
in time magazine stated that the opendoor policy of allowing anyone to edit had made wikipedia the biggest and possibly the best encyclopedia in the world and was a testament to the vision of jimmy wales,English
the projects reputation improved further in the s as it increased efforts to improve its quality and reliability based on its unique structure curation and absence of commercial bias,English
in facebook and youtube announced that they would help users detect fake news by suggesting links to related wikipedia articles,English
other collaborative online encyclopedias were attempted before wikipedia but none were as successful,English
wikipedia began as a complementary project for nupedia a free online englishlanguage encyclopedia project whose articles were written by experts and reviewed under a formal process,English
it was founded on march under the ownership of bomis a web portal company,English
its main figures were bomis ceo jimmy wales and larry sanger editorinchief for nupedia and later wikipedia,English
nupedia was initially licensed under its own nupedia open content license but even before wikipedia was founded nupedia switched to the gnu free documentation license at the urging of richard stallman,English
wales is credited with defining the goal of making a publicly editable encyclopedia while sanger is credited with the strategy of using a wiki to reach that goal,English
on january sanger proposed on the nupedia mailing list to create a wiki as a feeder project for nupedia,English
the domains wikipediacom and wikipediaorg were registered on january and january respectively and wikipedia was launched on january as a single englishlanguage edition at wwwwikipediacom and announced by sanger on the nupedia mailing list,English
wikipedias policy of neutral pointofview was codified in its first few months,English
otherwise there were relatively few rules initially and wikipedia operated independently of nupedia,English
originally bomis intended to make wikipedia a business for profit,English
wikipedia gained early contributors from nupedia slashdot postings and web search engine indexing,English
language editions were also created with a total of by the end of,English
nupedia and wikipedia coexisted until the formers servers were taken down permanently in and its text was incorporated into wikipedia,English
the english wikipedia passed the mark of two million articles on september making it the largest encyclopedia ever assembled surpassing the yongle encyclopedia made during the ming dynasty in which had held the record for almost years,English
citing fears of commercial advertising and lack of control in wikipedia users of the spanish wikipedia forked from wikipedia to create the enciclopedia libre in february,English
wales then announced that wikipedia would not display advertisements and changed wikipedias domain from wikipediacom to wikipediaorg,English
though the english wikipedia reached three million articles in august the growth of the edition in terms of the numbers of new articles and of contributors appears to have peaked around early,English
around articles were added daily to the encyclopedia in by that average was roughly,English
a team at the palo alto research center attributed this slowing of growth to the projects increasing exclusivity and resistance to change,English
others suggest that the growth is flattening naturally because articles that could be called lowhanging fruittopics that clearly merit an articlehave already been created and built up extensively,English
in november a researcher at the rey juan carlos university in madrid found that the english wikipedia had lost editors during the first three months of in comparison the project lost only editors during the same period in,English
the wall street journal cited the array of rules applied to editing and disputes related to such content among the reasons for this trend,English
wales disputed these claims in denying the decline and questioning the methodology of the study,English
two years later in wales acknowledged the presence of a slight decline noting a decrease from a little more than writers in june to in june,English
in the same interview wales also claimed the number of editors was stable and sustainable,English
a article titled the decline of wikipedia in mit technology review questioned this claim,English
the article revealed that since wikipedia had lost a third of its volunteer editors and those still there have focused increasingly on minutiae,English
in july the atlantic reported that the number of administrators is also in decline,English
in the november issue of new york magazine katherine ward stated wikipedia the sixthmostused website is facing an internal crisis,English
in january wikipedia entered for the first time the topten list of the most popular websites in the us according to comscore networks,English
with million unique visitors wikipedia was ranked number surpassing the new york times and apple,English
this marked a significant increase over january when the rank was number with wikipedia receiving around million unique visitors,English
as of march wikipedia has rank among websites in terms of popularity according to alexa internet,English
in it received eight billion page views every month,English
on february the new york times reported that wikipedia has billion page views and nearly million unique visitors a month according to the ratings firm comscore,English
loveland and reagle argue that in process wikipedia follows a long tradition of historical encyclopedias that accumulated improvements piecemeal through stigmergic accumulation,English
on january the english wikipedia participated in a series of coordinated protests against two proposed laws in the united states congressthe stop online piracy act sopa and the protect ip act pipaby blacking out its pages for hours,English
more than million people viewed the blackout explanation page that temporarily replaced wikipedia content,English
on january subodh varma reporting for the economic times indicated that not only had wikipedias growth stalled it had lost nearly ten percent of its page views last year,English
there was a decline of about two billion between december and december,English
its most popular versions are leading the slide pageviews of the english wikipedia declined by twelve percent those of german version slid by percent and the japanese version lost nine percent,English
varma added that while wikipedias managers think that this could be due to errors in counting other experts feel that googles knowledge graphs project launched last year may be gobbling up wikipedia users,English
when contacted on this matter clay shirky associate professor at new york university and fellow at harvards berkman klein center for internet society indicated that he suspected much of the page view decline was due to knowledge graphs stating if you can get your question answered from the search page you dont need to click,English
by the end of december wikipedia was ranked fifth in the most popular websites globally,English
in january wikipedia an asteroid was named after wikipedia in october wikipedia was honored with the wikipedia monument and in july of the page volumes of wikipedia became available as print wikipedia,English
in april an israeli lunar lander beresheet crash landed on the surface of the moon carrying a copy of nearly all of the english wikipedia engraved on thin nickel plates experts say the plates likely survived the crash,English
in june scientists reported that all gb of article text from the english wikipedia have been encoded into synthetic dna,English
unlike traditional encyclopedias wikipedia follows the procrastination principle regarding the security of its content,English
it started almost entirely openanyone could create articles and any wikipedia article could be edited by any reader even those who did not have a wikipedia account,English
modifications to all articles would be published immediately,English
as a result any article could contain inaccuracies such as errors ideological biases and nonsensical or irrelevant text,English
due to the increasing popularity of wikipedia some editions including the english version have introduced editing restrictions for certain cases,English
